Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,MonthlyIncome,OverTime,PercentSalaryHike,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
29.0,No,Travel_Rarely,Research & Development,7.0,3.0,Male,,Healthcare Representative,4.0,1.0,6623.0,Yes,11.0,3.0,6.0,0.0,
55.0,No,Travel_Rarely,Research & Development,8.0,4.0,Female,3.0,Manager,3.0,2.0,14756.0,Yes,14.0,3.0,5.0,0.0,0.0
34.0,No,Travel_Frequently,Research & Development,10.0,3.0,Male,4.0,Manufacturing Director,4.0,1.0,4724.0,No,13.0,3.0,9.0,7.0,7.0
34.0,No,Travel_Rarely,Sales,8.0,3.0,Female,3.0,Sales Executive,1.0,5.0,6500.0,No,17.0,3.0,3.0,,1.0
36.0,No,Travel_Rarely,Research & Development,1.0,3.0,Female,1.0,Manufacturing Director,1.0,2.0,10252.0,,21.0,3.0,7.0,7.0,7.0
,No,Travel_Rarely,Research & Development,,2.0,Female,3.0,Manager,1.0,1.0,11916.0,Yes,,3.0,9.0,1.0,0.0
53.0,No,Travel_Rarely,Research & Development,7.0,4.0,Female,3.0,Manager,3.0,3.0,18606.0,No,18.0,,7.0,7.0,4.0
39.0,No,Travel_Rarely,Human Resources,3.0,3.0,Female,,Human Resources,2.0,9.0,6389.0,No,15.0,1.0,8.0,3.0,3.0
58.0,No,Travel_Rarely,Sales,21.0,4.0,Female,,Manager,4.0,4.0,17875.0,Yes,13.0,2.0,1.0,0.0,0.0
25.0,No,Travel_Rarely,Sales,13.0,2.0,Male,3.0,,3.0,1.0,2096.0,No,11.0,3.0,7.0,4.0,0.0
29.0,,Travel_Rarely,,23.0,4.0,Female,2.0,Sales Executive,1.0,1.0,7336.0,No,13.0,1.0,11.0,8.0,3.0
44.0,No,Non-Travel,Research & Development,5.0,3.0,Male,2.0,Laboratory Technician,3.0,3.0,3162.0,No,14.0,3.0,5.0,2.0,0.0
,No,Travel_Rarely,Sales,23.0,4.0,Male,3.0,Sales Executive,3.0,3.0,7082.0,Yes,16.0,3.0,2.0,0.0,0.0
44.0,No,Travel_Rarely,Human Resources,1.0,1.0,Female,2.0,Human Resources,3.0,,5985.0,No,11.0,4.0,2.0,2.0,0.0
32.0,No,Travel_Rarely,Research & Development,8.0,3.0,Female,4.0,Research Scientist,3.0,5.0,5175.0,No,12.0,2.0,5.0,3.0,1.0
30.0,No,Travel_Frequently,Research & Development,1.0,3.0,Female,3.0,Laboratory Technician,4.0,1.0,4011.0,No,23.0,3.0,12.0,8.0,3.0
37.0,No,Travel_Rarely,Research & Development,1.0,1.0,Male,2.0,Manufacturing Director,3.0,1.0,5993.0,No,18.0,4.0,7.0,5.0,0.0
21.0,No,Travel_Rarely,Research & Development,15.0,3.0,Male,3.0,Research Scientist,4.0,1.0,1232.0,,14.0,3.0,0.0,0.0,0.0
39.0,No,Travel_Rarely,Sales,15.0,2.0,Male,3.0,Sales Executive,1.0,0.0,13341.0,No,12.0,3.0,20.0,8.0,11.0
30.0,No,Travel_Rarely,Sales,2.0,3.0,Male,3.0,Sales Representative,2.0,1.0,2476.0,No,18.0,3.0,1.0,0.0,0.0
37.0,No,Travel_Rarely,Sales,,3.0,Male,3.0,Sales Executive,4.0,2.0,7428.0,No,12.0,3.0,5.0,3.0,1.0
31.0,No,Travel_Rarely,Research & Development,7.0,3.0,Female,3.0,Manufacturing Director,4.0,1.0,7143.0,Yes,14.0,2.0,11.0,9.0,4.0
29.0,No,Travel_Rarely,Sales,19.0,3.0,Male,2.0,Sales Executive,3.0,1.0,8620.0,No,14.0,3.0,,7.0,0.0
,No,Non-Travel,Research & Development,25.0,2.0,,3.0,Research Scientist,3.0,3.0,4449.0,Yes,15.0,3.0,13.0,11.0,10.0
47.0,No,Travel_Rarely,Sales,14.0,3.0,Female,3.0,Sales Executive,3.0,3.0,4591.0,Yes,17.0,2.0,5.0,,1.0
46.0,No,Travel_Rarely,Sales,10.0,3.0,Female,2.0,Sales Executive,4.0,2.0,9071.0,,19.0,3.0,3.0,2.0,
55.0,No,Travel_Rarely,Research & Development,1.0,4.0,Male,3.0,Manager,1.0,0.0,19045.0,Yes,,3.0,36.0,10.0,4.0
28.0,No,Travel_Rarely,Research & Development,3.0,4.0,Female,3.0,,2.0,0.0,7655.0,No,17.0,2.0,9.0,7.0,1.0
49.0,Yes,Travel_Rarely,Sales,11.0,3.0,Female,3.0,Sales Executive,4.0,1.0,7654.0,No,18.0,4.0,9.0,8.0,7.0
27.0,No,Travel_Rarely,Sales,11.0,3.0,Female,4.0,Sales Representative,4.0,8.0,2534.0,,14.0,3.0,1.0,0.0,0.0
48.0,No,Travel_Rarely,Research & Development,4.0,3.0,Male,2.0,Healthcare Representative,3.0,7.0,10999.0,No,14.0,,15.0,11.0,4.0
38.0,No,Travel_Rarely,Sales,10.0,3.0,Male,2.0,Sales Executive,3.0,0.0,,Yes,,3.0,8.0,7.0,2.0
46.0,No,Non-Travel,Research & Development,7.0,3.0,Female,3.0,Manufacturing Director,3.0,2.0,5258.0,No,,4.0,1.0,0.0,0.0
32.0,No,Travel_Frequently,Sales,10.0,4.0,Male,3.0,Sales Executive,4.0,8.0,4648.0,No,13.0,4.0,0.0,0.0,0.0
37.0,No,Travel_Rarely,Research & Development,7.0,1.0,Male,3.0,Research Director,3.0,4.0,13664.0,No,13.0,4.0,5.0,2.0,0.0
45.0,No,Travel_Rarely,Research & Development,1.0,3.0,Male,,,4.0,0.0,19202.0,No,11.0,3.0,24.0,0.0,1.0
35.0,Yes,Travel_Rarely,Sales,15.0,1.0,Male,1.0,Sales Executive,4.0,6.0,5440.0,Yes,14.0,2.0,2.0,2.0,2.0
45.0,No,Travel_Rarely,Research & Development,5.0,3.0,Female,1.0,Laboratory Technician,1.0,1.0,5769.0,,14.0,3.0,10.0,7.0,1.0
31.0,No,,Sales,20.0,4.0,Female,3.0,Sales Executive,3.0,1.0,6932.0,No,13.0,2.0,9.0,8.0,0.0
30.0,No,Travel_Rarely,Research & Development,20.0,3.0,Male,3.0,Manufacturing Director,1.0,0.0,9957.0,No,15.0,2.0,6.0,2.0,0.0
38.0,No,Travel_Frequently,Research & Development,2.0,4.0,Male,3.0,Laboratory Technician,4.0,1.0,1702.0,Yes,23.0,3.0,1.0,0.0,0.0
45.0,No,Travel_Rarely,Research & Development,29.0,3.0,Male,3.0,Research Scientist,4.0,,3452.0,No,13.0,2.0,6.0,5.0,0.0
59.0,No,Travel_Frequently,Sales,1.0,1.0,Female,2.0,Sales Executive,3.0,7.0,5473.0,No,11.0,2.0,4.0,3.0,1.0
29.0,No,Travel_Rarely,Research & Development,21.0,2.0,Female,4.0,Manufacturing Director,1.0,1.0,9980.0,No,11.0,3.0,10.0,9.0,8.0
49.0,No,Travel_Rarely,Research & Development,1.0,3.0,Male,,Manager,3.0,4.0,15379.0,No,14.0,3.0,8.0,7.0,0.0
33.0,No,Travel_Rarely,Research & Development,4.0,1.0,Female,2.0,Laboratory Technician,2.0,8.0,3838.0,No,11.0,3.0,5.0,4.0,0.0
56.0,No,Travel_Rarely,Research & Development,1.0,1.0,Female,3.0,Research Scientist,1.0,2.0,2066.0,No,22.0,4.0,3.0,2.0,1.0
34.0,No,Travel_Rarely,Research & Development,,4.0,Male,3.0,Healthcare Representative,4.0,0.0,8500.0,No,11.0,2.0,9.0,7.0,1.0
51.0,No,Travel_Frequently,Research & Development,6.0,2.0,Female,,Laboratory Technician,3.0,0.0,2838.0,No,14.0,2.0,7.0,,7.0
53.0,No,Non-Travel,Research & Development,1.0,1.0,Female,2.0,Manufacturing Director,3.0,,12965.0,Yes,20.0,2.0,3.0,2.0,
38.0,No,Travel_Frequently,Research & Development,2.0,1.0,Female,4.0,Manufacturing Director,,6.0,5980.0,Yes,12.0,3.0,15.0,7.0,4.0
19.0,Yes,Travel_Rarely,Human Resources,2.0,1.0,Male,2.0,Human Resources,4.0,1.0,2564.0,No,12.0,4.0,1.0,0.0,0.0
25.0,No,Travel_Rarely,Sales,10.0,3.0,Male,3.0,Sales Executive,4.0,0.0,4950.0,No,14.0,3.0,,3.0,1.0
39.0,Yes,Travel_Frequently,Research & Development,2.0,1.0,Male,3.0,,,7.0,,No,11.0,3.0,18.0,7.0,11.0
39.0,No,Travel_Rarely,Research & Development,2.0,4.0,Female,2.0,Healthcare Representative,3.0,1.0,4553.0,No,11.0,3.0,20.0,7.0,11.0
31.0,No,Travel_Rarely,Sales,7.0,,Male,4.0,Sales Executive,4.0,4.0,6929.0,No,11.0,2.0,8.0,7.0,7.0
29.0,No,Travel_Frequently,Research & Development,20.0,4.0,Male,3.0,Laboratory Technician,,1.0,3812.0,No,13.0,4.0,11.0,8.0,3.0
18.0,No,,Research & Development,14.0,2.0,Female,,Research Scientist,3.0,1.0,1514.0,No,16.0,1.0,0.0,0.0,0.0
60.0,No,Travel_Frequently,Sales,28.0,3.0,Female,2.0,Sales Executive,1.0,4.0,10266.0,No,19.0,4.0,18.0,13.0,13.0
33.0,Yes,Travel_Frequently,,29.0,1.0,Female,2.0,Research Scientist,3.0,1.0,4508.0,No,22.0,3.0,13.0,7.0,3.0
26.0,,Travel_Rarely,Research & Development,3.0,,,4.0,Laboratory Technician,,1.0,4420.0,No,22.0,3.0,8.0,7.0,0.0
34.0,No,Travel_Rarely,Research & Development,29.0,2.0,Male,3.0,Laboratory Technician,3.0,4.0,5429.0,No,13.0,3.0,8.0,7.0,7.0
21.0,No,Travel_Rarely,Research & Development,3.0,4.0,Male,2.0,Research Scientist,3.0,1.0,3230.0,No,17.0,4.0,3.0,2.0,1.0
31.0,,Travel_Frequently,Research & Development,20.0,1.0,Male,3.0,Healthcare Representative,3.0,3.0,9824.0,No,12.0,3.0,1.0,0.0,0.0
42.0,No,Travel_Rarely,Human Resources,2.0,3.0,Male,3.0,Human Resources,3.0,0.0,2696.0,Yes,11.0,3.0,3.0,2.0,1.0
50.0,No,Travel_Rarely,Research & Development,24.0,4.0,Male,3.0,Manufacturing Director,3.0,3.0,13973.0,Yes,18.0,,12.0,11.0,1.0
28.0,No,Travel_Frequently,Research & Development,1.0,4.0,Male,3.0,,3.0,0.0,2154.0,Yes,,2.0,4.0,2.0,0.0
42.0,No,Travel_Rarely,Research & Development,24.0,4.0,Male,3.0,Manufacturing Director,1.0,1.0,7406.0,Yes,21.0,2.0,10.0,9.0,5.0
36.0,No,Non-Travel,Research & Development,1.0,4.0,Female,2.0,Manufacturing Director,3.0,0.0,4374.0,No,15.0,3.0,3.0,2.0,1.0
27.0,No,Travel_Frequently,Sales,8.0,4.0,Male,3.0,Sales Executive,3.0,1.0,8726.0,No,15.0,3.0,9.0,8.0,1.0
49.0,No,Travel_Rarely,Research & Development,6.0,3.0,Female,2.0,Healthcare Representative,3.0,2.0,13966.0,,19.0,,15.0,11.0,2.0
32.0,,Non-Travel,Research & Development,5.0,2.0,Male,3.0,Research Scientist,2.0,2.0,2718.0,No,14.0,3.0,7.0,7.0,0.0
54.0,No,Travel_Frequently,Research & Development,,4.0,Female,3.0,Research Scientist,3.0,3.0,4869.0,No,12.0,2.0,4.0,,0.0
21.0,Yes,Travel_Frequently,Research & Development,10.0,1.0,Female,2.0,Laboratory Technician,3.0,1.0,2625.0,No,20.0,1.0,2.0,2.0,2.0
32.0,No,Travel_Rarely,Research & Development,1.0,4.0,Male,3.0,Research Scientist,1.0,1.0,2956.0,No,13.0,3.0,1.0,0.0,0.0
,Yes,Travel_Rarely,,5.0,3.0,Male,2.0,Sales Executive,3.0,,5744.0,Yes,11.0,3.0,6.0,4.0,0.0
32.0,No,Travel_Rarely,,7.0,4.0,Male,2.0,,3.0,1.0,5484.0,No,14.0,,13.0,8.0,4.0
46.0,,Travel_Rarely,Sales,9.0,1.0,Male,3.0,Sales Executive,4.0,4.0,10096.0,No,11.0,4.0,7.0,7.0,4.0
56.0,No,Travel_Rarely,Research & Development,8.0,3.0,Female,3.0,Research Scientist,1.0,4.0,4257.0,Yes,18.0,3.0,2.0,2.0,2.0
32.0,Yes,Travel_Rarely,Research & Development,1.0,4.0,Male,,Laboratory Technician,3.0,0.0,3730.0,Yes,14.0,1.0,3.0,2.0,1.0
39.0,No,Travel_Rarely,Sales,,1.0,Male,2.0,,4.0,3.0,6120.0,Yes,12.0,4.0,5.0,4.0,1.0
25.0,Yes,Travel_Rarely,Research & Development,3.0,1.0,Male,3.0,Laboratory Technician,1.0,5.0,4031.0,No,13.0,3.0,2.0,2.0,0.0
31.0,No,Travel_Rarely,Sales,5.0,1.0,Male,3.0,Sales Executive,,,8346.0,No,19.0,3.0,5.0,2.0,0.0
22.0,No,Travel_Rarely,,2.0,3.0,Male,3.0,Laboratory Technician,4.0,0.0,,No,14.0,3.0,2.0,1.0,2.0
46.0,No,Travel_Rarely,Research & Development,1.0,4.0,Male,3.0,Research Director,4.0,9.0,19627.0,No,,,2.0,2.0,2.0
32.0,No,Travel_Rarely,Research & Development,2.0,3.0,Female,3.0,Laboratory Technician,2.0,1.0,2370.0,No,13.0,3.0,8.0,0.0,0.0
38.0,Yes,Travel_Rarely,Research & Development,2.0,3.0,Male,3.0,Manufacturing Director,2.0,4.0,4855.0,No,11.0,3.0,5.0,2.0,1.0
34.0,,Travel_Rarely,Sales,,4.0,Male,4.0,Sales Executive,4.0,1.0,5337.0,No,,3.0,10.0,7.0,5.0
45.0,No,Non-Travel,Sales,2.0,3.0,Female,3.0,Sales Executive,3.0,4.0,5154.0,No,22.0,4.0,8.0,7.0,5.0
49.0,No,Travel_Rarely,Research & Development,16.0,,Female,3.0,Laboratory Technician,1.0,4.0,2587.0,Yes,16.0,2.0,2.0,2.0,2.0
34.0,No,Travel_Rarely,Research & Development,5.0,2.0,Male,2.0,Laboratory Technician,4.0,1.0,3986.0,No,14.0,4.0,15.0,10.0,4.0
30.0,No,Travel_Rarely,Research & Development,2.0,,Female,,Manufacturing Director,4.0,5.0,6877.0,Yes,24.0,2.0,0.0,0.0,0.0
30.0,No,Travel_Rarely,Research & Development,9.0,4.0,Male,2.0,Laboratory Technician,3.0,1.0,2206.0,No,13.0,3.0,10.0,0.0,1.0
39.0,,Travel_Rarely,Research & Development,19.0,4.0,Male,3.0,Research Scientist,4.0,8.0,3902.0,No,14.0,3.0,2.0,2.0,2.0
50.0,No,Travel_Rarely,Research & Development,29.0,2.0,Male,2.0,Manager,3.0,0.0,17046.0,No,15.0,3.0,27.0,10.0,15.0
35.0,No,Travel_Rarely,Research & Development,5.0,3.0,Male,3.0,Manufacturing Director,2.0,0.0,8095.0,No,13.0,3.0,16.0,6.0,0.0
37.0,No,Travel_Rarely,Research & Development,6.0,3.0,,4.0,Research Scientist,1.0,4.0,5974.0,Yes,13.0,3.0,7.0,7.0,6.0
40.0,No,Travel_Rarely,Research & Development,1.0,1.0,Male,3.0,Manager,,2.0,16823.0,No,11.0,3.0,19.0,7.0,11.0
35.0,No,,Research & Development,11.0,4.0,Male,3.0,Laboratory Technician,3.0,7.0,,Yes,11.0,3.0,2.0,2.0,2.0
24.0,No,Travel_Rarely,,24.0,4.0,Male,3.0,Laboratory Technician,2.0,8.0,3597.0,No,22.0,3.0,4.0,3.0,1.0
32.0,No,Travel_Rarely,Research & Development,2.0,1.0,Female,4.0,Research Scientist,4.0,7.0,5055.0,No,16.0,2.0,7.0,7.0,0.0
34.0,No,Travel_Rarely,Sales,7.0,2.0,Male,3.0,Sales Representative,3.0,0.0,,Yes,25.0,3.0,11.0,10.0,5.0
34.0,No,Travel_Rarely,Research & Development,1.0,2.0,Male,3.0,Research Scientist,4.0,9.0,5484.0,No,17.0,2.0,2.0,2.0,2.0
57.0,No,Travel_Rarely,Research & Development,24.0,3.0,Male,4.0,Healthcare Representative,4.0,3.0,9439.0,Yes,16.0,1.0,5.0,3.0,1.0
41.0,No,Travel_Rarely,Sales,4.0,3.0,Female,3.0,Sales Executive,3.0,0.0,10447.0,Yes,,4.0,22.0,14.0,13.0
24.0,,Travel_Frequently,Research & Development,2.0,1.0,Female,3.0,Research Scientist,4.0,1.0,3760.0,Yes,13.0,3.0,6.0,3.0,1.0
56.0,No,Travel_Rarely,Research & Development,23.0,4.0,Male,3.0,Manufacturing Director,2.0,4.0,13402.0,Yes,12.0,3.0,19.0,16.0,15.0
